Name,Phone,Category,Query,Link
TOMORO COFFEE - Citra 6,081119272103,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/TOMORO+COFFEE+-+Citra+6/data=!4m7!3m6!1s0x2e6a034b7c1426fb:0x3a7cab03d3c9c7bf!8m2!3d-6.1253461!4d106.7117331!16s%2Fg%2F11v14g75fg!19sChIJ-yYUfEsDai4Rv8fJ0wOrfDo?authuser=0&hl=id&rclk=1
SAGA Coffee,082164277277,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/SAGA+Coffee/data=!4m7!3m6!1s0x2e6a0329a85fec71:0x6da4c046d5af2847!8m2!3d-6.1298418!4d106.7059173!16s%2Fg%2F11pbc4dqmt!19sChIJcexfqCkDai4RRyiv1UbApG0?authuser=0&hl=id&rclk=1
ARAH Coffee Citra 7,081128512545,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/ARAH+Coffee+Citra+7/data=!4m7!3m6!1s0x2e69f9fcb41b4a5f:0x21162f6ed90365b2!8m2!3d-6.145281!4d106.7003741!16s%2Fg%2F11t5dqy91z!19sChIJX0obtPz5aS4RsmUD2W4vFiE?authuser=0&hl=id&rclk=1
Kopi Konnichiwa Citra 6,081290810368,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Kopi+Konnichiwa+Citra+6/data=!4m7!3m6!1s0x2e6a039d4e9592bd:0x1b6e05d5d7acd465!8m2!3d-6.1298421!4d106.7159671!16s%2Fg%2F11j92w2dkz!19sChIJvZKVTp0Dai4RZdSs19UFbhs?authuser=0&hl=id&rclk=1
Seberang Senja Coffee & Eatery,082223210708,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Seberang+Senja+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e6a032c0d53b9a9:0x833dae0eef47fdfe!8m2!3d-6.1214507!4d106.6975829!16s%2Fg%2F11xf3061w0!19sChIJqblTDSwDai4R_v1H7w6uPYM?authuser=0&hl=id&rclk=1
Cafe Clabing,085718186954,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Cafe+Clabing/data=!4m7!3m6!1s0x2e6a02a7b363b01d:0x33437f042fb1d6d6!8m2!3d-6.136851!4d106.7098142!16s%2Fg%2F11f01yj0qs!19sChIJHbBjs6cCai4R1taxLwR_QzM?authuser=0&hl=id&rclk=1
SEMATJAM di Citra 6,085721555501,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/SEMATJAM+di+Citra+6/data=!4m7!3m6!1s0x2e6a02b9f59d930d:0xc0bdbb5157b11131!8m2!3d-6.1233441!4d106.7099119!16s%2Fg%2F11bw5ytwpp!19sChIJDZOd9bkCai4RMRGxV1G7vcA?authuser=0&hl=id&rclk=1
Polly Cafe Sunset Avenue,081291994192,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Polly+Cafe+Sunset+Avenue/data=!4m7!3m6!1s0x2e6a035eb2db185d:0x673fabf30f539458!8m2!3d-6.1214513!4d106.6971004!16s%2Fg%2F11v64r60_4!19sChIJXRjbsl4Dai4RWJRTD_OrP2c?authuser=0&hl=id&rclk=1
Tipika micro Roastery,08989900046,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Tipika+micro+Roastery/data=!4m7!3m6!1s0x2e69f9411a4ed343:0xf232293470e3607!8m2!3d-6.1149335!4d106.7106663!16s%2Fg%2F11h423sp95!19sChIJQ9NOGkH5aS4RBzYOR5MiIw8?authuser=0&hl=id&rclk=1
Backdoor x PatBingSoo Next Level,087749528886,cafe,cafe in Jakarta Barat,https://www.google.com/maps/place/Backdoor+x+PatBingSoo+Next+Level/data=!4m7!3m6!1s0x2e6a03c27f3fcbc9:0x508371919fe35c34!8m2!3d-6.1245742!4d106.7103752!16s%2Fg%2F11sn2l0psd!19sChIJycs_f8IDai4RNFzjn5Fxg1A?authuser=0&hl=id&rclk=1
